ID,name,birth,phone,locality
patJQKW59,Edward Sparks,11/05/1974,8259772,South
patJ3TGLN,Elizabeth Rocco,20/08/2000,8429029,North
patBV8HT3,James White,12/12/1969,8698034,Northeast
patJORB0G,Patrick Simmons,15/05/1930,8681390,Southeast
patOQHZX7,Katherine Bradford,08/06/1938,9238046,Southeast
patSYHHQB,Debra Braunstein,10/12/2002,8452758,Southeast
patGDQB1S,George Printup,02/02/1912,9791243,Southeast
pat081UQL,Kathy Delo,18/04/1921,8796575,North
patLSZ275,Tracy Kessler,05/06/1960,8084368,South
patBYYLBY,Janet Lewis,06/09/1957,8606846,North
patP0TXMR,Billy Tolliver,01/09/1970,9067834,Northeast
patE3WWKT,Daryl White,11/05/1979,8860102,South
patQTZD7C,Roger Mcglothlin,13/04/1932,8433484,North
patYDTFJ2,Henry Warfield,12/03/1982,8532117,Southeast
patAX10Z9,Cindy Harris,28/11/1940,9786416,East
pat6QLV8Y,Amber Beam,28/12/1999,9608956,East
patTWBYNS,Mary Mingione,12/01/1951,9859627,South
patA0I5QA,Megan Acevedo,04/05/1910,9440629,North
pat0GINQN,Julia Peoples,02/09/1918,9100304,Southwest 
pat80MACT,Eric Gray,15/04/1922,9613804,Southeast
pat0WKAPE,Raul Glisson,20/07/1943,9204754,Northeast
patW0TU74,Jose Modrak,01/09/1958,9295223,South
patCMHNDP,Shirley Aguirre,20/12/1916,9633413,North
patCWJS7U,Michael Spink,07/02/1901,8457757,Southwest 
pat3GN2MT,Kirsten Cool,22/12/1955,8751165,South
patI2FJ9F,Regina Robles,19/04/1955,9600010,East
patTHV3SA,Francis Mata,15/10/1928,8613243,South
patPM4K8U,Charles Allen,07/05/1939,9770638,Southeast
patQKXQET,Leslie Underwood,22/04/1913,8437673,Southwest 
patTI2C8P,Barbara Melton,04/05/1918,8329422,Northeast
patVPLN7U,Sheldon Sowers,08/03/1967,8030842,West
patHBUUCY,Ruth Rodriguez,11/06/1965,9727980,Southeast
patZDYKPT,Janet Hamilton,16/12/1909,8204339,Southeast
pat76U965,Josh Duncan,01/11/1931,9371303,Northeast
pat6WOSS0,Kathleen Mccray,17/10/1905,9941509,Northwest
pat3URPK5,Robert Hruby,10/02/1955,8994415,East
patTGPS2P,Elizabeth Rodrigez,06/09/2000,8067725,Southeast
patTJ8XJK,Jessie Baumgardner,14/07/1919,9018239,East
pat9NTRKE,Michael Leonard,06/06/1991,8919105,North
patNC8O0J,Christi Gourley,07/07/1913,8016591,East
patWXWT1S,Elizabeth Gantz,13/06/1990,8330580,Southwest 
patRVSHY8,Katheryn Porter,25/01/1991,9032021,West
patWSLTZ3,Marvin Cook,27/11/1954,8114059,South
patMQDCRV,Tasha Roth,20/03/1979,9167767,East
patJLAGGY,Billie Adams,11/03/1975,8503356,Southwest 
patPNHI9N,Colby Stegmann,21/01/1946,8176303,East
patCUH9P6,Dianne Andrews,21/10/1966,9305596,South
patAKCCV1,Eduardo Byrne,15/11/1922,8090762,South
pat5INQ4L,Jeffrey Walsh,03/09/1958,8845232,Northeast
pat5XSGCU,Dolores Batton,19/04/1904,9061650,Southeast
patUIWN3V,Caitlin Capps,14/08/1931,8266182,Northeast
patM888NR,Robert Sine,07/05/1941,8965180,East
patMENKNO,Charles Cochran,19/05/1932,8750742,Northwest
patV46GB4,Andrew Saugis,11/03/1994,8753581,North
patPNEX9J,Lola Cain,18/04/1962,9668160,Northeast
pat9NNVAK,Caroline Mahon,24/08/1933,8223144,Northeast
patVMN6YX,Jesica Miller,26/02/1922,8636620,East
patELMODX,Richard Shaughnessy,01/11/1990,8223584,East
patGMCVVZ,Agnes Killian,23/05/1942,8506426,South
pat74NDLO,Albert Vanpelt,20/01/1930,9970190,West
patMRUCYZ,William Orenstein,11/11/1939,9387325,East
pat9JR3CG,Richard Smiley,23/05/1922,8808198,West
patPCE1VK,Dollie Buenrostro,26/01/1977,8997575,West
pat4OWYGM,Edward Mccracken,02/04/1975,8484102,East
patPMLXY0,Max Jackson,11/10/1911,9840720,West
patP77IAF,Otis Bruner,24/01/1996,8427538,East
patPCN8N0,Joyce Womer,05/12/1924,8540536,Northeast
patR1NWYM,Rebecca Gerow,09/03/1992,8312378,Southwest 
patJWB3BO,Deborah Mohr,01/12/1924,8727835,West
pat2KM9YA,Claire Schippers,04/03/1976,8174841,Southeast
patDF8T80,Shawn Cleveland,05/07/1906,8059220,Northeast
patVTMWL2,Joe Walker,03/02/1955,8143820,Northeast
pat6WR0VE,Grant Harmon,17/01/1937,8574738,Southwest 
pat08B6XL,Jenny Stamps,13/01/1975,9290079,South
patRNN8JK,Gary Alter,17/08/1972,9059329,North
patNL9XI8,Lois Medrano,02/04/1928,9677087,East
patQZOA0B,Nancy Courtright,08/02/2001,8632636,Northwest
patVQJOTY,Gregory Johnson,02/10/1921,8481640,Northwest
pat7J83RN,Dale Garrett,08/12/1949,9066127,Southeast
patQDEJV7,Clarence Murray,05/08/1938,8339569,Northwest
patZIC5PB,Darrin Brown,27/02/1965,9028198,Southeast
patPNVT7O,Gary Baker,05/03/1937,8634012,Southwest 
pat6SGCGX,Malcolm Herring,10/08/1943,8805492,South
patBW6PRI,Terry Ward,26/06/1920,9985503,Southwest 
pat3YEQEO,Tim Papineau,01/12/1968,8860772,Southeast
patH67I22,Jeanice Smith,13/04/1974,9744345,Northwest
patFXZ9P4,Luis Bowlin,16/06/1924,9626231,Southeast
patA32MPV,John Jackson,25/06/1986,9432208,North
pat9I8QDR,Ashley Myers,23/05/1966,9895131,Southeast
patFFW689,Scott Bartlett,21/08/1947,9764431,Southwest 
patR1UU1G,Joan Oakes,07/10/1955,9646128,North
patDRFCBP,Shirley Johnson,21/08/1984,8921836,Southwest 
patI62TCO,Gabriel Dover,21/06/1913,8553392,East
pat0P7TVK,William Young,26/04/1977,9473081,Southwest 
patBWHV06,Edward Campuzano,28/07/1966,8436575,West
patU627KI,Lori Radabaugh,16/09/1937,9701278,North
patWG3JJ0,Margaret Turner,20/11/1900,8828001,Southwest 
patI6ELBV,David Bucker,22/05/1955,8758400,Northeast
patIK5QXP,Louise Locklear,26/10/1972,8800384,West
patWPXSLK,Jennie Phillips,15/12/1994,8242768,East
pat3QJ9BO,Laura Sellers,18/08/1939,9074597,Southwest 
patY5JMQV,Linda Best,17/03/1996,8213144,West
patLJGQT1,Margaret Stover,07/01/1946,9563891,East
patTH1AWB,Evelyn Felix,24/08/1999,9128239,North
patD3TX4J,Thomas Baker,05/09/1925,9576970,West
pat873B7E,Madeline Harris,18/08/1982,8181376,East
patS47JAC,Laura Casavant,05/09/1951,9579418,North
pat8JV7UJ,Lauren Carbone,22/01/1949,9802847,Southeast
patX6TOBU,Ethel Connolly,20/03/1970,9483990,Southeast
patO7BMZZ,Garry Stokes,12/10/1921,8722284,Northeast
patC8WGRU,Karen Arnold,13/11/1926,8575748,North
patHK79OR,Janet Sondrini,03/04/2002,8965568,Northeast
patUZ9WK2,Ronald Scoggins,19/06/1940,9410321,West
pat6WEJAR,Leonard Fournier,09/11/1906,9906328,South
patOWE0ZB,Anna Flynn,06/07/1926,9000371,North
patTXOCNN,Kevin Dias,19/10/1970,9921463,Southwest 
patHGPCIZ,Elisa Lopez,28/11/1956,9311476,South
pat5FZ1O9,Lincoln Davis,21/05/1998,8374195,North
patHI7IP0,Pamela Bair,28/09/1982,9419225,South
patETL0KE,Eugene Roman,16/06/1900,9714786,Northwest
patT2K5YH,Nakia Thomas,14/09/1979,9006306,West
patY7N9Z4,Consuelo Maloney,08/03/1956,9208978,North
patRG8DE8,Amanda Phelps,02/03/1980,9936053,West
patWD61M9,Miguel Lemus,08/04/1908,9234701,North
patEBR38P,Jeremy Marlett,26/01/1945,8460915,Southeast
patNDFNNX,Roseann Perkins,16/11/1929,9261418,Southeast
pat0339JB,James Samuels,09/05/1939,9028277,Southeast
patDHOZIW,Gloria Kelly,17/08/1963,8695539,Southwest 
pat25NIAR,Jennifer Foreman,03/09/1966,9514161,South
patBH8CT3,Earle Hoover,02/05/1959,9401438,Southwest 
pat99PO4N,Preston Tussey,02/01/1950,8429122,East
pat9Q2D3M,Connie Gage,11/06/1931,8407626,Northeast
patHQZUSR,Richard Phillips,09/08/1998,9083287,Southeast
patS7C20D,Danny Roberson,17/03/1984,9665814,Northeast
patUR5E4B,Renita Normand,24/05/1915,9765191,Northeast
patVPQR4A,William Bartley,03/10/1973,9982175,Southwest 
pat3S4MR5,Todd Kauffman,19/12/1969,8017232,East
patGXIOVQ,Henry Williams,02/07/1986,8371434,East
pat1L1OZO,Sylvia Bailey,18/04/1997,8300640,North
